space_id,space_name,category_id,category_name,location_id,location_name,booking_rate_1week,total_hours_available_1week,total_hours_booked_1week,booking_count_1week,booking_rate_2weeks,total_hours_available_2weeks,total_hours_booked_2weeks,booking_count_2weeks,booking_rate_1month,total_hours_available_1month,total_hours_booked_1month,booking_count_1month,booking_rate_2months,total_hours_available_2months,total_hours_booked_2months,booking_count_2months,booking_rate_3months,total_hours_available_3months,total_hours_booked_3months,booking_count_3months,next_available_booking
19905,Scott 203K - Audio Recording Studio,5833,Audio Recording Rooms,7571,Scott Library Making & Media Creation Lab,43.1,29.0,12.5,5,21.55,58.0,12.5,5,10.33,121.0,12.5,5,5.02,249.0,12.5,5,4.79,261.0,12.5,5,2026-03-04 13:45
29187,Scott 207C - Audio Recording Booth,5833,Audio Recording Rooms,7571,Scott Library Making & Media Creation Lab,15.52,29.0,4.5,2,7.76,58.0,4.5,2,3.72,121.0,4.5,2,1.81,249.0,4.5,2,1.72,261.0,4.5,2,2026-03-01 14:00
32502,Scott 207D - Audio Recording Booth,5833,Audio Recording Rooms,7571,Scott Library Making & Media Creation Lab,8.62,29.0,2.5,1,4.31,58.0,2.5,1,2.07,121.0,2.5,1,1.0,249.0,2.5,1,0.96,261.0,2.5,1,2026-03-01 14:00
19904,Scott 204 - Flex Studio,6842,Flex Studio Spaces,7571,Scott Library Making & Media Creation Lab,94.83,29.0,27.5,11,78.88,58.0,45.75,18,53.51,121.0,64.75,25,33.23,249.0,82.75,31,39.75,261.0,103.75,38,2026-03-12 11:00
21083,Scott 203E - VR/Podcasting Room,5832,VR Rooms,7571,Scott Library Making & Media Creation Lab,0.0,29.0,0.0,0,0.0,58.0,0.0,0,0.0,121.0,0.0,0,0.0,249.0,0.0,0,0.0,261.0,0.0,0,2026-03-01 14:00
21082,Scott 203G - VR Room,5832,VR Rooms,7571,Scott Library Making & Media Creation Lab,13.79,29.0,4.0,2,6.9,58.0,4.0,2,3.31,121.0,4.0,2,1.61,249.0,4.0,2,1.53,261.0,4.0,2,2026-03-01 14:00
33206,Gaming Lab (Rm 3050),7959,Gaming Lab,8111,Markham Library Visualization Studio and Gaming Lab,28.8,62.5,18.0,2,15.25,118.0,18.0,2,7.45,241.5,18.0,2,4.67,481.5,22.5,3,4.5,499.5,22.5,3,2026-02-27 09:30
30719,Green Screen Video Studio (Rm 3060C),7761,Video Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,62.5,0.0,0,2.12,118.0,2.5,1,1.04,241.5,2.5,1,0.52,481.5,2.5,1,0.5,499.5,2.5,1,2026-02-27 09:30
30720,Video and Photo Studio (Rm 3060H),7761,Video Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,62.5,0.0,0,0.0,118.0,0.0,0,0.0,241.5,0.0,0,0.0,481.5,0.0,0,0.0,499.5,0.0,0,2026-02-27 09:30
31827,Podcast Studio #1 (Rm 3060B),7762,Podcast Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,62.5,0.0,0,0.0,118.0,0.0,0,0.0,241.5,0.0,0,0.0,481.5,0.0,0,0.0,499.5,0.0,0,2026-02-27 09:30
30701,Podcast Studio #2 (Rm 3060D),7762,Podcast Studios,8111,Markham Library Media Creation Studios and Equipment,4.0,62.5,2.5,1,2.12,118.0,2.5,1,1.04,241.5,2.5,1,0.52,481.5,2.5,1,0.5,499.5,2.5,1,2026-02-27 09:30
30721,Editing and Music Studio #1 (Rm 3060G),7467,Editing Studios,8111,Markham Library Media Creation Studios and Equipment,3.2,62.5,2.0,1,1.69,118.0,2.0,1,0.83,241.5,2.0,1,0.42,481.5,2.0,1,0.4,499.5,2.0,1,2026-02-27 09:30
30722,Editing and Music Studio #2 (Rm 3060F),7467,Editing Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,62.5,0.0,0,0.0,118.0,0.0,0,0.0,241.5,0.0,0,0.0,481.5,0.0,0,0.0,499.5,0.0,0,2026-02-27 09:30
30723,Editing and Music Studio #3 (Rm 3060E),7467,Editing Studios,8111,Markham Library Media Creation Studios and Equipment,8.0,62.5,5.0,2,4.24,118.0,5.0,2,2.07,241.5,5.0,2,1.04,481.5,5.0,2,1.0,499.5,5.0,2,2026-02-27 13:00
33193,Mixed Use Studio (Rm 3045),7951,Large Studios,8111,Markham Library Media Creation Studios and Equipment,0.0,62.5,0.0,0,0.0,118.0,0.0,0,1.04,241.5,2.5,1,2.65,481.5,12.75,4,2.55,499.5,12.75,4,2026-02-27 09:30
